jobid,jobtitle,normalized_skills
210516002263,Walkin Data Entry Operator (night Shift),"['Basic Computer Knowledge', 'Internet', 'Data Entry', 'Typing', 'English Typing', 'Data Collection', 'Customer Service', 'BPO', 'KPO', 'Operations', 'English', 'Tamil']"
210516002391,Work Based Onhome Based Part Time.,"['Basic Computer Knowledge', 'Data Entry', 'Data Collection', 'Data Processing', 'English', 'Tamil']"
101016900534,Pl/sql Developer - SQL,['SQL']
81016900536,Manager/ad/partner - Indirect Tax - CA,['C']
120916002122,JAVA Technical Lead (6-8 yrs) -,"['Java', 'JavaScript', 'HTML', 'Angular', 'MySQL', 'Git', 'Node.js']"
131016005070,WALK IN - As400 Developer - Pfsweb Global Services (bangalore),"['Operations', 'Communication', 'Express.js']"
131016004451,PHP Developer,"['Python', 'JavaScript', 'React', 'Angular', 'MySQL', 'php']"
121016002995,Member Technical Staff-wire Harness/cable Harness/technicians,"['C', 'Communication']"
131016002120,Team Leader,[]
121016901354,German Translator,"['Customer Service', 'BPO', 'KPO', 'Operations', 'English', 'Communication']"
101016001508,Business Development Manager,"['Internet', 'Communication']"
61016003187,Opening for Android Developer-bangalore-4-8 yrs,"['Java', 'Computer Vision']"
131016006001,Full Stack Web Application (php) Developer,['php']
131016003744,Looking for an Application Engineer-fpga,"['Communication', 'Computer Vision']"
121016901343,Revenue Assurance,['Operations']
121016900092,Senior Java Full Stack Developer - Java/ Spring 4,"['Java', 'JavaScript', 'Oracle', 'Communication', 'Node.js']"
30916001587,Data Entry Executive,"['Excel', 'MS Office', 'Data Entry', 'Typing', 'Data Processing', 'English', 'Communication']"
131016002831,PHP Developer_banashankari II Stage,"['JavaScript', 'HTML', 'CSS', 'SQL', 'Internet', 'php']"
81016900140,Bluetooth Host Software Development Engineer - Automotive Infotainment,"['Python', 'C']"
131016900573,E-commerce Executive,"['Excel', 'MS Office', 'Customer Service', 'BPO', 'KPO', 'Operations', 'Communication']"
121016901388,Analytics,"['Customer Service', 'BPO', 'KPO', 'Operations']"
160316902471,Java Developer - Spring/mvc/hibernate,"['Java', 'JavaScript', 'SQL', 'Communication']"
131016003382,Design Engineer,"['R', 'English']"
110116900920,Sr iOS Developer - Objective C / Cocoa,['C']
100816900876,Hadoop Architect - Mapreduce/hive,"['Hadoop', 'Hive', 'Apache Spark']"
101016900097,Senior Equity Strategy - Asian Market - Cfa/iim/mdi/isb/fms,[]
131016007060,"Urgent Opening -rm-banglore, Vijayawada, Srikakulam, Chitoor","['Machine Learning', 'Computer Vision']"
131016005890,Telesales Executive,"['Internet', 'Communication', 'Computer Vision']"
121016004415,"Senio QA with a Product Based Startup, Bangalore","['Python', 'Java', 'Customer Service', 'Customer Support', 'Communication']"
30916004016,Duty Manager,['Customer Service']
131016007104,Test Automation Engineer ( Selenium + API Testing) @ Ahmedabad,"['Python', 'Java', 'C', 'SQL', 'Redis', 'Communication']"
131016004798,Good Opportunity for Oracle DBA - Bangalore Location,"['Oracle', 'C']"
70916003296,HR Managers in Demand in Canada & Australia,"['BPO', 'Call Center', 'Communication', 'Express.js']"
121016901250,Call Quality,"['Customer Service', 'BPO', 'KPO', 'Operations']"
150916000405,Assistant/ Deputy Manager Purchase,['C']
71016901832,IBM Mobile First Developer,"['Angular', 'SQL', 'MySQL', 'HTML']"
81016900152,WLAN Device Driver Development Engineer - Linux,"['Python', 'C', 'Wireshark']"
121016901125,Senior Developer-bi,"['Excel', 'MS Office', 'BPO', 'English', 'Communication']"
131016006427,Banking / Mortgage / Finance / Sales / Bpo / Call Centre / Associate /,"['Customer Service', 'Customer Support', 'BPO', 'KPO', 'Call Center', 'Operations', 'Communication', 'Express.js']"
101016002851,Senior Developer (retail POS Development),['C']
10816900754,Javascript Developer -oojs/angular/node/react - Html/css,"['Java', 'JavaScript', 'HTML', 'CSS', 'Angular', 'Node.js']"
131016006548,Devops Engineer,"['Python', 'Java', 'HTML', 'Ansible', 'Customer Service', 'Customer Support', 'BPO', 'KPO', 'Operations', 'English']"
220116901982,Developer - SQL Bi/cosmos/sql Azure,"['R', 'SQL', 'Power BI', 'Excel', 'Hadoop', 'Azure', 'Machine Learning']"
81016900144,Bluetooth Stack Test Engineer - Testing & Verification,"['Python', 'C']"
91016000411,Sharepoint Technical Lead / Architect,"['C', 'SQL', 'Communication']"
131016002725,Trainee/intern,"['Excel', 'Customer Service', 'BPO', 'KPO', 'Operations']"
131016900433,SFDC Developers,"['JavaScript', 'Amazon S3', 'Communication']"
40416004276,Architect-salarpuria Sattva,[]
160316902462,Full Stack Software Engineer - Angularjs/ruby on Rails,"['Python', 'C', 'JavaScript', 'Angular', 'MySQL', 'PostgreSQL', 'MongoDB']"
131016007165,Preferred Relationship Manager,"['C', 'Computer Vision']"
131016007105,Gym Instructor,[]
180516900531,VP - Program/project/product Management - Ecommerce - Iit/iim/fms,"['Internet', 'Customer Service', 'BPO', 'KPO', 'Operations', 'Communication']"
131016002526,"Technical Lead C#, .net, WCF, Winforms, WPF","['C', 'Communication']"
131016002465,JAVA GWT,"['Java', 'SQL', 'Oracle', 'Communication']"
131016003406,Java Developers,"['Java', 'SQL', 'MySQL', 'Operations']"
131016006852,Wealth Planning Offices - Direct Sales - Life Insurance,['Communication']
51016900668,Senior Manager/deputy General Manager- Digital Marketing,[]
131016007194,Dot Net Developer - ( Bangalore - Whitefield),"['C', 'SQL']"
160916000781,Manager Business Analytics,"['Excel', 'Internet', 'Customer Service', 'BPO', 'KPO', 'Call Center', 'Operations', 'Communication']"
131016900574,Arts Fresher,"['Excel', 'MS Office', 'Customer Service', 'BPO', 'KPO', 'Operations']"
131016003995,Legal Manager,[]
260816005929,Need Technicians,['Operations']
101016900315,Product Manager,['Internet']
101016003243,R2R Operations Manager/bangalore - Upto 17 L,"['Customer Service', 'BPO', 'KPO', 'Call Center', 'Operations']"
101016000572,Opening for Hadoop Developers-product Development Client,"['MongoDB', 'Hadoop', 'Hive', 'Operations', 'Machine Learning', 'Apache Spark']"
170816009314,"Immediate Opening for Sr VC++ , C++ Professionals at AFL",['C']
80616004724,Content Writer & Editor,['English']
111016002318,Investment Analyst | Construction Finance Industry,[]
70916008227,Executive / Senior Executive - Examinations & Quality Systems,['Communication']
290616004145,Opening for Ruby on Rails Development with Telecom Company,"['Java', 'JavaScript', 'HTML', 'CSS', 'GitHub']"
100916005126,Customer Support Associate/executive/cashier in a Retail Industry,"['Customer Service', 'Customer Support', 'Communication']"
60916900046,Teradata Developer,['SQL']
121016000234,Process Engineer(refinery),[]
220916901106,Senior Web Developer,"['JavaScript', 'HTML', 'CSS', 'Angular', 'Communication']"
101016900060,Big Fix Administrator - Tivoli/ Unix,['Communication']
121016000233,Chemical Engineer,['R']
50916901117,SOW Coordinator,"['R', 'Excel', 'Data Collection', 'Customer Service']"
150316900278,Full Stack Enginner,"['C', 'JavaScript', 'MySQL']"
111016001036,Immediate Openings for bpo Non/ Voice Process..call Sourabh,"['Customer Service', 'Customer Support', 'BPO', 'KPO', 'Call Center', 'Operations', 'English', 'Communication']"
220316005663,Urgent Openings Bangalore - IT Recruiter,['Communication']
111016002035,UI UX Designer,"['JavaScript', 'HTML', 'CSS', 'Internet', 'Communication']"
101016004613,NET Programmer,"['SQL', 'Communication']"
230716000417,Government Jobs for Freshers in India,[]
101016004059,Deputy Manager - Indirect Taxation | Confidential,['C']
10716003976,Software Jobs for Freshers,['BPO']
80716900165,HR Coordinator,"['R', 'Excel', 'Data Collection', 'Customer Service']"
150816000736,.Net MVC - Senior Developer @ Shoppyzip.com - Bangalore,"['C', 'JavaScript', 'Azure', 'Angular']"
101016900713,Assistant Manager - PMO,"['Excel', 'PowerPoint', 'Operations', 'English', 'Communication']"
101016001359,Technology Architect - Contractual ( PAN India ),"['Java', 'JavaScript', 'CSS', 'Angular', 'Network Security', 'Node.js', 'HTML']"
101016900683,Developer 3G,['C']
101016006219,Sales Executive/senior Executive/assistant Sales Manager,"['Customer Service', 'Communication']"
140316006277,lead data Scientist,"['R', 'Data Analysis']"
121016001257,"Hr-generalist/hr Admin/, Global MNC, Conatct Hr-080-49546910",['Operations']
71016902339,Big Data Test Engineer,"['Java', 'SQL', 'Hadoop', 'Communication']"
101016003996,SAP Basis,['Computer Vision']
61015005235,Associate Recruiter,['Computer Vision']
220916004681,"Exciting Opportunity for Lead Cakephp Developer for Carmatec,bangalore","['JavaScript', 'Angular', 'MySQL', 'Git', 'php']"
101016900706,Technical Services Engineer,['Communication']
220816000299,Product Specialist With a Telecom Product Based org in Bangalore,"['Oracle', 'Computer Vision']"
160916008018,Exciting Career Opportunity for RTL Design Engineers | Bangalore,['Communication']
51016001393,Big Data Hadoop Developer,"['Python', 'Java', 'Oracle', 'Hadoop', 'Hive', 'Apache Spark']"
121016000868,"Assistant Manager,hr-generalist ,Top Retail Firm,7411909767,9686288924",[]
260816003500,"HR Operation Lead"" - Bangalore",['Operations']
10916000104,Front end Recruiter,['Communication']
260515007582,Medical Coding- Join Today For A Better Tomorrow- Whatsapp@ 9789004777,"['Customer Service', 'BPO', 'KPO', 'Operations']"
10316001892,Immediate Job Opening for IT Recruiter(hcl Technologies),['Excel']
50416000190,Biztalk Developer,['Azure']
300716000464,IT Software Engineer Jobs for Freshers in India,[]
101016004607,Marketing Manager - Gastro,['Communication']
101016000855,Robotics Trainer for Schools in Bangalore,"['English', 'Communication']"
121016000738,"Commis I, Commis II, Commis III, Tandoor, Continental, Garde Manjer",[]
101016006372,Controller,"['KPO', 'Operations', 'English']"
40915900214,Store Executive Required in Banglor(raja Rajeshwari Nagar & Marathall,"['English', 'Communication']"
210116008813,Medical Coding Transcription- TO BE Honest YOU CAN DO Transcription,"['GCP', 'Customer Service', 'BPO', 'KPO', 'Operations']"
150316001716,Opening for UI Designer/developer for Telecom Company,"['Python', 'Java', 'JavaScript', 'HTML', 'CSS', 'Angular', 'Node.js', 'MongoDB']"
70916000382,Huge Requirements for International Voice.call Archana,"['Customer Service', 'Customer Support', 'BPO', 'KPO', 'Call Center', 'Operations', 'Communication']"
111016000657,Job Opening for HCL Technologies C Developer Bangalore(16-10-2016),['C']
101016002078,Openings for Position of Test Engineer- Manager for Bangalore Location,['Communication']
111016000792,Immediate Openings for bpo Non/ Voice Process..call Kavya,"['Customer Service', 'Customer Support', 'BPO', 'KPO', 'Call Center', 'Operations', 'English', 'Communication']"
10915007386,Software Engineer,"['Java', 'C', 'JavaScript', 'CSS', 'PostgreSQL', 'Git', 'Communication', 'php', 'Angular', 'HTML']"
130916001619,Machine Learning & NLP Expert -candidates From Premier Institutes Only,"['Java', 'Jenkins', 'Natural Language Processing', 'Operations', 'Machine Learning', 'Artificial Intelligence']"
101016002601,Marketing Executive-chennai,['Operations']
101016005378,Mega Walk-in Drive - Tech M - Genesys - Pune / Bangalore - 15 Oct 16,"['Java', 'C']"
260716009115,Data Entry Typing work,"['Data Entry', 'Customer Service', 'BPO', 'KPO', 'Operations']"
290716006387,Priorty Banking ( Banking Wealth),['Customer Service']
150716001591,Associate Software Engineer And Testing Jobs In Bangalore,"['Java', 'C', 'Computer Fundamentals']"
200416900077,Showroom Executives,['Communication']
200616004841,Android Developer,[]
200716005217,SPA Manager for a Leading Spa & Salon,['Operations']
10116001126,Recruitment Coordinator- Bangalore,"['MS Office', 'English', 'Tamil', 'Hindi']"
30816004361,"BDM from Furniture, Interior Desig call Hyderabad 8904440505/0606",[]
100816007910,Lead Engineer (java) with 6+ Years Experience Required at Bangalore,"['Java', 'JavaScript', 'HTML', 'CSS', 'MySQL']"
260216002548,Immediate Opening for Freshers-btech (IT Recruiter),[]
101016900554,Executive - CRM,"['Excel', 'MS Office', 'Customer Service', 'BPO', 'KPO', 'Operations', 'Communication']"
101016000134,Web Developer & Designer,"['MySQL', 'php']"
230316006504,Immediate Openings for Bench Sales Recruiter for Bangalor,[]
111016002063,Sales Executive For Construction Industry,"['Operations', 'Communication', 'Computer Vision']"
101016900546,MS SQL Database Administrator - SQL Server,['SQL']
71016006334,Wanted Delivery Boy With Valid DL and Bike or with out DL,[]
121016000476,Open Walk-in for Freshers ( Pharmacovigilance) @ Quintilesims,"['R', 'MS Office', 'Operations', 'Communication']"
101016002107,Was/weblogic Developer,['Java']
50916901040,.3G Developer,['C']
111016000722,Sr.practitioner -finance/ AR / SAL 5 LACS !!cal 7829330187,"['Oracle', 'Customer Service', 'Customer Support', 'BPO', 'KPO', 'Call Center', 'Operations', 'C']"
240216001003,Immediate Opening for Social Media Recruiter_hcl Technologies,[]
121016000716,"Fashion Consultant,store Manager-female Candidate-walkin 13&14 Oct","['Internet', 'Operations']"
111016001573,System Administrator (fresher) - Walk-in,"['C', 'KPO', 'Communication']"
101016900754,Product Sourcing Leader,"['Oracle', 'Excel', 'Operations']"
200916006861,"Network L3,4-10year , Bangalore and Gurgaon",[]
111016001528,Recruitment Executive,"['BPO', 'Call Center']"
290916006144,Technical Counsellor,"['Customer Service', 'BPO', 'KPO', 'Call Center', 'Operations']"
101016004741,Sr Executive/ Executive - Hr(event Management Only)- Gurgoan/ Bangalor,['Communication']
101016004254,Looking for Java Developer with Japanese Language Experience.,"['Java', 'C', 'SQL', 'Computer Vision']"
90816000620,Oracle Corporate Trainer,"['Oracle', 'Communication', 'C']"
101016003200,Oracle Finance Technical,"['Oracle', 'Computer Vision']"
71016001652,Placement Cordinator,['Communication']
90816007790,Senior JAVA Developer Int:mumbai Job:bang,['Java']
101016900058,IFS ERP Consultant - Manufacturing and Demand Supply Chain Module,[]
71016902342,Lead Product Engineer,"['Java', 'Angular', 'MongoDB', 'JavaScript']"
21016001073,"Sr. Marketing Executive - Jobs, Bangalore / Bengaluru",['MS Office']
290716006330,Investment Counselor - Banking,[]
40613000071,Part Time Teachers - Bangalore /whitefield/gunjur/hrbr Layout/banswadi,['English']
111016001196,Duty Manager,['Customer Service']
101016000536,HR Executive,[]
121016001082,"JP Morg@n,@mex,tc$, Hiring for Banking Process Uk Shift Salary 5L","['Customer Service', 'BPO', 'KPO', 'Call Center', 'Operations', 'English']"
80616006302,Senior Recruiter - BFSI Hiring - Non IT,"['Operations', 'Communication', 'Computer Vision']"
280716007188,Human Resource Executive - HR Operations,['Operations']
71016902349,Reliability Engineer,['Data Analysis']
101016002808,Chartered Accountant 0 to 2 Years for MNC Bpo/kpo,"['BPO', 'KPO', 'Call Center']"
101016900758,Lead Manager - Materials,['Oracle']
101016004429,Teradata DBA for Bangalore / Trivandrum,['Computer Vision']
220716000368,Engineering Jobs for Freshers in IT Sector,['Basic Computer Knowledge']
101016004397,Centre Manager / TL / Sales Manager - Any Industry ( Sales Background),"['Operations', 'Communication', 'Computer Vision']"
71016001890,Asset DESK Manager_leading Bank_bangalore,[]
260916001533,Urgent Openings for Big Data / Hadoop Developer,"['MongoDB', 'Hadoop', 'Node.js']"
130716001688,VP Operations ( B2G) Business to Government,['Operations']
300916001123,Product Support Specialist - Logistimo,"['Excel', 'MS Office', 'PowerPoint', 'Customer Service', 'Customer Support', 'BPO', 'KPO', 'Operations', 'English', 'Hindi', 'Communication']"
111016000139,"IP MPLS Engineer(l3) with Cgnat, ASR 9K",[]
80716900276,Optical Testing Engineer,[]
101016900724,Senior Software Engineer,"['Java', 'MySQL', 'English', 'Communication']"
101016001497,Manager - Sales & Marketing - Solution Based Technology Company,[]
101016002310,HCL Technologies Hiring for Linux Device Driver Developer,['C']
101016000560,IT Recruiter/counsulatants (work From Home)- Only Ladies,"['MS Office', 'Communication']"
111016000770,Ugent Opening for Java J2Ee Developer For Mumbai and Bangalore Locatio,['Java']
240616002157,Hiring for IT Recruiters & Non IT Recruiters,['Communication']
31016006181,IP L2/l3(cgnat /nat/ Asr9k) - Bangalore,[]
170616006416,Senior Software Engineer / Technical Lead - Java,"['Java', 'R', 'Oracle', 'Customer Service', 'Customer Support', 'BPO', 'KPO', 'Operations']"
200716005355,Sales Executive / Manager,[]
200716005010,Available Part time / full time work at Top M.n.c Company-9502349603,"['Internet', 'Data Entry', 'Call Center', 'Communication']"
20116003344,Medical Coding - Job Bookings Open - Whatsapp@ 09789004777 - Yogam BPO,"['R', 'BPO']"
111016000369,Sales Manager - Bangalore,"['English', 'Hindi', 'Communication']"
121016000832,Area Service Managers Required For Bangalore,"['English', 'Hindi', 'Communication']"
111016000046,"W*S, Mp*a&i&, Se**o, Jp*c, A*M, M*ha*i* BPOs Hiring! Sal Upto 35k","['R', 'Customer Service', 'BPO', 'KPO', 'Call Center', 'Operations', 'English']"
111016000647,Manual Tester\test Engineer,[]
70916000152,Litigation Paralegal,"['KPO', 'English', 'Communication']"
121016000723,Immediate Openings!!! Attractive Salary Packages!!! Call- Dimple,"['Customer Service', 'Customer Support', 'BPO', 'KPO', 'Call Center', 'Operations', 'English', 'Hindi', 'Communication']"
90516900388,Oracle DBA,['Oracle']
111016001016,Enterprise Application Advisor,"['SQL', 'Oracle']"
290316900910,Sr. Technical Lead with a Product Based Company,[]
20116003125,Medical Coding - Are You Ready? - Whatsapp@ 09789004777 - Yogam BPO,"['C', 'R', 'BPO']"
160916008250,"MCSA , MCSE & Exchange Sever Trainer - Jayanagar",[]
101016001916,"Customer Support Executive , Call Center BPO , Dayshift , Day Shift","['Customer Service', 'Customer Support', 'BPO', 'KPO', 'Call Center', 'Operations', 'Communication']"
50716005489,QA QC Engineer-salarpuria Sattva,[]
121016000751,Urgent Requirement | SEO Executive I Bangalore,"['HTML', 'Internet']"
111016002203,Oracle Apex Developer,"['C', 'JavaScript', 'HTML', 'CSS', 'SQL', 'Oracle', 'Communication', 'Angular', 'Node.js', 'Express.js']"
101016004120,Analytics Engineer Openings Based out in Bangalore,"['Python', 'R', 'Data Science', 'Data Analysis']"
101016001375,Creative Art Director : Social Media,[]
160716005921,Branch Head >> Bangalore>> Leading Pvt Sector Bank,"['Customer Service', 'Operations', 'Computer Vision']"
80716900942,BYOD Mobility,['Communication']
230716004373,"Dietician - Bangalore , Gurgaon",['R']
80716900262,Sr Associate,['Communication']
80716900267,Sr.java Developer(server side JAVA Programming),"['Java', 'SQL']"
101016005448,Ground Staff Walk in Interviews,['Customer Service']
101016005496,Sales Manager,['Computer Vision']
91016000902,Associate Software Engineer (Dot net & UI),"['Java', 'C', 'JavaScript', 'HTML', 'CSS', 'SQL']"
71016902346,Infrastructure Architect,"['AWS', 'Azure', 'Communication']"
80716900274,Presales Consultant,['Communication']
231115004567,Opening for UI Developer - Bangalore/ Chennai,"['Java', 'JavaScript', 'HTML', 'CSS', 'Angular', 'Node.js']"
121016001339,Associate Product Manager - Digital Product,"['BPO', 'Call Center']"
101016900744,Associate Software Engineer,['SQL']
40416002442,Privy Relationship Manager ( Banking Wealth),['Customer Service']
100716000142,IT Jobs for Freshers Anywhere in India,[]
111016002098,Duty Doctor & ICU Doctor,['R']
101016001003,Mainframe PM,"['Java', 'Communication']"
300816004970,Senior Position in Banca/ Agency Channel for Top Insurance Company,[]
80716900941,Bench Sales Recruiter,[]
61115005970,Software Engineer,"['Java', 'JavaScript', 'Angular']"
111016000101,Hiring 4 UK Shift/backend Operations/non Voice/sal 3.2l/cal 7829336017,"['Excel', 'Customer Service', 'Customer Support', 'BPO', 'KPO', 'Call Center', 'Operations', 'Communication']"
101016002697,Content Developer (work from Home),"['Excel', 'English']"
111016002086,Quality Engineer For Construction Industry,['Computer Vision']
50916901074,UI Designer/ Developer,"['Python', 'Java', 'JavaScript', 'HTML', 'CSS', 'Angular']"
101016900756,Scrum Master,[]
121016000544,"Banking Customer Support, Banking Collections, Sal up to 3.5+inc","['Customer Service', 'Customer Support', 'BPO', 'KPO', 'Call Center', 'Operations', 'Communication']"
101016002103,Contracts Manager,[]
111016001210,Enterprise Application Advisor,"['SQL', 'Oracle']"
160616001811,Senior J2EE Developer,"['Java', 'BPO']"
61016005625,Assistant Manager/ Deputy Manager Accounts Payable,['Communication']
41016000462,Flash Developer,"['Operations', 'English', 'Communication']"
120516005891,Software Development Engineer,"['Java', 'Internet']"
111016002142,Sales HEAD ( Ayurveda),[]
50916901028,HR Operation Lead,[]
70716002756,Urgent Requirements of Steward,[]
101016001650,Corporate Interface Manager,[]
160616000378,DPI Sr. System Analyst Position with a Telecom Product Based org.,"['C', 'Network Security', 'Wireshark', 'Internet']"
121016001327,Maintenance Manager,[]
101016900291,Narrative Designer,"['Internet', 'Communication']"
61016005283,US IT Recruiter,['Communication']
101016004722,Business Development Consultant - WFH,"['Oracle', 'Computer Vision']"
51016007848,Opening for .net Developer with 3to6 Years Experience Bangalore,"['C', 'JavaScript', 'SQL']"
250116005458,Manager - Retail ( Product Application Group ),"['R', 'Communication']"
101016001053,Asst Manager - Corporate Sales,[]
101016005872,Legal Advisor,[]
190716008358,PPC Expert,[]
101016001560,Hiring for TPF Developer for Bangalore,['BPO']
111016000823,SE / SSE / LEAD - Mainframe - 3 to 10 ysr - Bangalore,[]
101016900685,Analyst / Associate Consultant,"['Excel', 'MS Word', 'PowerPoint', 'Communication']"
